Ticker,Fiscal_Year,XCalendar_Future_DateX,Future_Calendar_Quarters,Linear_Chart_Duration_Years,Linear_Price_Scale_Low,Linear_Price_Scale_High,Linear_Earnings_Scale_Low,Linear_Earnings_Scale_High,Linear_Upper_Price_Channel,Linear_Lower_Price_Channel,Use_Diluted_or_Adjusted_EPS,Chart_Type,Use_AAII_Projections,Log_Chart_Duration_Years,Log_Price_Scale_Low,Log_Price_Scale_High,Log_Earnings_Scale_Low,Log_Earnings_Scale_High,Log_Upper_Price_Channel,Log_Lower_Price_Channel,Dividend_Multiplier_Factor,Candle_Chart_Duration_Days
BRZE,Jan,5/2/2024,8,10,-30,180,-0.05,0.3,0.02,0.02,Adjusted,,,,-10,50,-1.5,4,0.3,0.3,,
CRWD,Jan,5/2/2024,8,10,-600,900,-1,1.5,0.18,0.18,,,,,-10,50,-1.5,4,0.3,0.3,,
DELL,Jan,5/2/2024,8,10,-150,225,-2,3,0.3,0.3,,,,,-10,50,-1.5,4,0.3,0.3,,
DG,Jan,5/2/2024,8,10,0,315,0,4.5,0.15,0.15,,,,,5,70,-1,4,0.3,0.3,,
DOCU,Jan,5/2/2024,8,10,-40,400,-0.45,4.5,0.2,0.2,Adjusted,,,,-10,50,-1.5,4,0.3,0.3,,
DSGX,Jan,5/2/2024,8,10,0,200,0,0.8,0.04,0.04,,,,,5,70,-1,4,0.3,0.3,,
FIVE,Jan,5/2/2023,8,10,0,450,0,3,0.06,0.06,,,,,5,70,-1,4,0.3,0.3,,
FL,Jan,5/2/2023,8,10,0,140,0,2.8,0.08,0.12,,,,,5,70,-1,4,0.3,0.3,,
GAP,Jan,5/2/2023,8,10,0,50,0,1,0.05,0.05,,,,,5,70,-1,4,0.3,0.3,,
GTLB,Jan,5/2/2024,8,10,-90,180,-0.2,0.4,0.04,0.04,Adjusted,,,,-10,50,-1.5,4,0.3,0.3,,
HD,Jan,5/2/2024,8,10,0,480,0,6,0.15,0.15,,,,,5,70,-1,4,0.3,0.3,,
HQY,Jan,5/2/2024,8,10,-60,180,-0.2,0.6,0.1,0.1,,,,,-50,100,-1,2,0.15,0.15,,
IOT,Jan,5/2/2024,8,10,-24,120,-0.04,0.2,0.01,0.01,Adjusted,,,,5,70,-1,4,0.3,0.3,,
LOW,Jan,5/2/2024,8,10,0,300,0,4.5,0.2,0.2,,,,,0,60,0,1,0.1,0.1,,
LULU,Jan,5/2/2023,8,10,0,600,0,4,0.08,0.08,,,,,-20,150,-0.3,0.5,0.1,0.1,,
MDB,Jan,5/2/2024,8,10,-225,900,-0.5,2,0.15,0.15,Adjusted,,,,-10,50,-1.5,4,0.3,0.3,,
NVDA,Jan,5/2/2024,8,10,0,200,0,2,0.05,0.05,,,,,5,70,-1,4,0.3,0.3,,
OKTA,Jan,5/2/2024,8,10,-100,400,-0.6,2.4,0.12,0.12,Adjusted,,,,-50,100,-1,2,0.15,0.15,,
PSTG,Jan,5/2/2024,8,10,-25,100,-0.2375,0.95,0.05,0.05,Adjusted,,,,-10,50,-1.5,4,0.3,0.3,,
RH,Jan,5/2/2023,8,10,-20,900,-0.2,9,0.2,0.2,,,,,-20,150,-0.3,0.5,0.1,0.1,,
ROST,Jan,5/2/2024,8,10,0,180,0,2.7,0.1,0.1,,,,,5,70,-1,4,0.3,0.3,,
SMAR,Jan,5/2/2024,8,10,-60,150,-0.48,1.2,0.1,0.1,Adjusted,,,,-10,50,-1.5,4,0.3,0.3,,
SMTC,Jan,5/2/2023,8,10,0,120,0,0.9,0.036,0.036,,,,,0,50,0,1,0.05,0.05,,
SNOW,Jan,5/2/2024,8,10,-200,600,-1,3,0.07,0.07,Adjusted,,,,5,70,-1,4,0.3,0.3,,
TITN,Jan,5/2/2024,8,10,-25,100,-0.5,4,0.1,0.1,,,,,5,70,-1,4,0.3,0.3,,
ULTA,Jan,5/2/2024,8,10,0,800,0,8,0.25,0.25,,,,,5,70,-1,4,0.3,0.3,,
VEEV,Jan,5/2/2023,8,10,0,420,0,1.4,0.04,0.04,,,,,5,70,-1,4,0.3,0.3,,
WDAY,Jan,5/2/2024,8,10,-200,400,-1,2,0.15,0.15,,,,,5,70,-1,4,0.3,0.3,,
WMT,Jan,5/2/2024,8,10,0,100,0,2,0.15,0.15,,,,46,0.01,200,0.0002,4,0.15,0.15,,
WSM,Jan,5/2/2024,8,10,0,200,0,3,0.1,0.1,,,,40,0.03,300,0.00045,4.5,0.3,0.3,,
ZM,Jan,5/2/2024,8,10,-40,800,-0.05,1,0.03,0.03,,,,46,0.01,200,0.0002,4,0.15,0.15,,
CPRT,Jul,11/2/2023,8,10,0,100,0,1.44,0.04,0.07,,,,,0,60,0,1,0.1,0.1,,
CSCO,Jul,11/2/2023,8,10,0,120,0,1.8,0.01,0.11,,,,,0,60,0,1,0.1,0.1,,
INTU,Jul,11/2/2023,8,10,0,900,0,9,0.18,0.18,,,,,-10,50,-1.5,4,0.3,0.3,,
PANW,Jul,11/2/2024,8,10,-30,300,-0.12,1.2,0.06,0.06,,,,,5,70,-1,4,0.3,0.3,,
THO,Jul,11/2/2023,8,10,0,200,0,4,0.15,0.15,,,,,5,70,-1,4,0.3,0.3,,
ZS,Jul,11/2/2024,8,10,-54,540,-0.09,0.9,0.05,0.05,Adjusted,,,,5,70,-1,4,0.3,0.3,,
AFRM,Jun,10/2/2023,8,10,-200,200,-0.6,0.6,0.08,0.08,,,,,0,60,0,1,0.1,0.1,,
CACI,Jun,10/2/2023,8,10,0,600,0,12,0.2,0.2,,,,,-20,150,-0.3,0.5,0.1,0.1,,
CLX,Jun,10/2/2023,8,10,0,300,0,4.5,0.15,0.15,,,,,5,70,-1,4,0.3,0.3,,
COHR,Jun,1/2/2023,8,10,0,140,0,2,0.1,0.1,Adjusted,,,,-20,150,-0.3,0.5,0.1,0.1,,
EL,Jun,10/2/2023,8,10,0,400,0,4,0.1,0.1,,,,,5,70,-1,4,0.3,0.3,,
EXTR,Jun,10/2/2023,8,10,-40,50,-1,1,0.05,0.05,,,,,0,60,0,1,0.1,0.1,,
FN,Jun,10/2/2023,8,10,0,250,0,5,0.08,0.08,,,,,0,60,0,1,0.1,0.1,,
FOXA,Jun,10/2/2023,8,10,5,70,-1,4,0.3,0.3,,,,,5,70,-1,4,0.3,0.3,,
INTA,Jun,10/2/2023,8,10,-24,75,-0.08,0.25,0.02,0.02,Adjusted,,,,0,60,0,1,0.1,0.1,,
LRCX,Jun,10/2/2023,8,10,-5,125,-0.1,2.5,0.06,0.06,,,,,5,70,-1,4,0.3,0.3,,
MBUU,Jun,10/2/2023,8,10,0,200,0,3,0.05,0.05,,,,,-20,150,-0.3,0.5,0.1,0.1,,
MRCY,Jun,10/2/2023,8,10,0,150,0,0.75,0.05,0.05,,,,,0,60,0,1,0.1,0.1,,
MSFT,Jun,10/2/2023,8,10,0,600,0,9,0.1,0.1,,,,,0,60,0,1,0.1,0.1,,
NSSC,Jun,10/2/2023,8,10,0,45,0,0.6,0.015,0.015,,,,,5,70,-1,4,0.3,0.3,,
OSIS,Jun,10/2/2022,8,10,0,280,0,2.8,0.02,0.1,,,,,5,70,-1,4,0.3,0.3,,
OTEX,Jun,10/2/2023,8,10,0,120,0,1.2,0.04,0.04,,,,,5,70,-1,4,0.3,0.3,,
PFGC,Jun,10/2/2023,8,10,-20,80,-0.2,0.8,0.05,0.05,,,,,5,70,-1,4,0.3,0.3,,
RMD,Jun,10/2/2023,8,10,0,350,0,3.5,0.07,0.07,,,,,5,70,-1,4,0.3,0.3,,
SYNA,Jun,10/2/2023,8,10,-80,250,-0.8,2.5,0.1,0.1,,,,,5,70,-1,4,0.3,0.3,,
UI,Jun,10/2/2023,8,10,0,600,0,9,0.2,0.2,,,,,5,70,-1,4,0.3,0.3,,
ALGM,Mar,7/2/2023,8,10,0,100,0,1,0.04,0.04,Adjusted,,,,-20,150,-0.3,0.5,0.1,0.1,,
BABA,Mar,7/2/2023,8,10,0,560,0,21,1,1,,,,,0,480,0,18,1,1,,
BAH,Mar,7/2/2023,8,10,0,240,0,3,0.1,0.1,,,,,5,70,-1,4,0.3,0.3,,
CRUS,Mar,7/2/2023,8,10,0,200,0,3.25,0.12,0.12,,,,,5,70,-1,4,0.3,0.3,,
CVLT,Mar,7/2/2023,8,9,-100,300,-0.4,1.2,0.08,0.08,,,,,0,500,-0.25,2.5,0.12,0.12,,
DECK,Mar,7/2/2023,8,10,0,300,0,5,0.04,0.04,,,,,-20,150,-0.3,0.5,0.1,0.1,,
DOCS,Mar,7/2/2023,8,10,0,150,0,0.8,0.025,0.025,,,,,5,70,-1,4,0.3,0.3,,
EA,Mar,7/2/2023,8,10,0,275,0,2.75,0.12,0.12,,,,,5,5,-1,4,0.3,0.3,,
ELF,Mar,7/2/2023,8,10,-15,300,-0.09,1.8,0.1,0.1,,,,,-20,150,-0.3,0.5,0.1,0.1,,
ENS,Mar,7/2/2023,8,10,0,150,0,3,0.15,0.15,,,,,5,70,-1,4,0.3,0.3,,
EXP,Mar,7/2/2023,8,10,-50,300,-1,6,0.17,0.17,,,,,5,70,-1,4,0.3,0.3,,
HAE,Mar,7/2/2023,8,10,-20,160,-0.4,3.2,0.1,0.1,,,,,5,70,-1,4,0.3,0.3,,
HLI,Mar,7/2/2023,8,10,0,160,0,2.4,0.15,0.15,,,,,5,70,-1,4,0.3,0.3,,
MCHP,Mar,1/2/2021,8,10,0,150,0,1.75,0.1,0.1,,,,,-20,150,-0.3,0.5,0.1,0.1,,
PLUS,Mar,7/2/2023,8,10,0,120,0,3,0.1,0.1,,,,,5,70,-1,4,0.3,0.3,,
QRVO,Mar,7/2/2023,8,10,-50,600,-0.4,4.8,0.1,0.1,,,,,5,70,-1,4,0.3,0.3,,
STEP,Mar,7/2/2023,8,10,0,90,0,1,0.06,0.06,Adjusted,,,,-20,150,-0.3,0.5,0.1,0.1,,
TTWO,Mar,7/2/2023,8,10,-50,300,-1,3.75,0.2,0.2,,,,,5,70,-1,4,0.3,0.3,,
WNS,Mar,7/2/2023,8,10,0,100,0,1.75,0.12,0.12,,,,,5,5,-1,4,0.3,0.3,,
AEHR,May,9/2/2023,8,10,-20,100,-0.2,1,0.025,0.025,,,,,5,70,-1,4,0.3,0.3,,
CTAS,May,9/2/2023,8,10,0,800,0,12,0.2,0.2,,,,,5,70,-1,4,0.3,0.3,,
FDX,May,9/2/2021,8,10,0,560,0,7,0.3,0.3,,,,,5,70,-1,4,0.3,0.3,,
GIS,May,9/2/2023,8,10,0,100,0,2,0.07,0.07,,,,,5,70,-1,4,0.3,0.3,,
MLKN,May,9/2/2023,8,10,0,60,0,1.2,0.04,0.04,,,,,5,70,-1,4,0.3,0.3,,
NKE,May,9/2/2023,8,10,0,210,0,2.8,0.08,0.08,,,,,0,50,0,1,0.05,0.05,,
ORCL,May,9/2/2023,8,10,0,180,0,3,0.08,0.08,,,,,5,70,-1,4,0.3,0.3,,
ADBE,Nov,3/2/2024,8,10,0,900,0,6,0.2,0.2,,,,,0,450,0,3,0.2,0.2,,
CCL,Nov,3/2/2024,8,10,-150,100,-3,2,0.15,0.15,,,,,-20,150,-0.3,0.5,0.1,0.1,,
KBH,Nov,3/2/2024,8,10,-10,100,-0.4,4,0.1,0.1,,,,,0,60,0,1,0.1,0.1,,
LEN,Nov,3/2/2024,8,10,0,250,0,10,0.2,0.2,,,,,0,50,0,1,0.05,0.05,,
MKC,Nov,3/2/2024,8,10,0,120,0,1.8,0.07,0.07,,,,,5,70,-1,4,0.3,0.3,,
SNX,Nov,3/2/2024,8,10,0,200,0,4,0.15,0.15,,,,,5,70,-1,4,0.3,0.3,,
AMAT,Oct,2/2/2024,8,10,0,300,0,5,0.1,0.1,,,,,0,90,0,1.5,0.1,0.1,,
AVGO,Oct,2/2/2024,8,10,0,256,0,4,0.04,0.04,,,,,-40,520,-0.6,7.8,0.4,0.4,,
CIEN,Oct,2/2/2024,8,10,-100,200,-1,2,0.1,0.1,,,,,5,70,-1,4,0.3,0.3,,
COO,Oct,2/2/2024,8,10,0,400,0,6,0.3,0.3,,,,,5,70,-1,4,0.3,0.3,,
HEI,Oct,2/2/2024,8,10,-10,500,0,8,0.1,0.1,,,,,5,70,-1,4,0.3,0.3,,
KEYS,Oct,2/2/2024,8,10,0,300,0,3,0.05,0.05,,,,,0,90,0,1.5,0.1,0.1,,
SNPS,Oct,2/2/2024,8,10,0,800,0,10,0.1,0.1,,,,,-10,50,-1.5,4,0.3,0.3,,
TTC,Oct,2/2/2024,8,10,-10,150,0,3,0.1,0.1,,,,,0,90,0,1.5,0.1,0.1,,
AAPL,Sep,1/2/2024,8,10,0,300,0,6,0.09,0.09,,,,,0,300,0,6,0.35,0.35,,
APD,Sep,1/2/2024,8,10,0,360,0,7.2,0.2,0.2,,,,,-20,150,-0.3,0.5,0.1,0.1,,
ATKR,Sep,1/2/2024,8,10,0,300,0,8,0.1,0.1,,,,,0,55,-0.5,1.5,0.1,0.1,,
BERY,Sep,1/2/2024,8,10,0,250,0,2.5,0.1,0.1,,,,,-20,150,-0.3,0.5,0.1,0.1,,
CASH,Sep,1/2/2024,8,10,-20,100,-0.5,2.5,0.08,0.08,,,,,0,60,0,1,0.1,0.1,,
CENT,Sep,1/2/2024,8,10,0,120,0,2,0.08,0.08,,,,,0,55,-0.5,1.5,0.1,0.1,,
CLFD,Sep,1/2/2024,8,10,-22.5,135,-0.25,1.5,0.04,0.04,,,,,0,300,0,6,0.35,0.35,,
DHI,Sep,1/2/2024,8,10,0,210,0,6.3,0.15,0.15,,,,,0,55,-0.5,1.5,0.1,0.1,,
DIS,Sep,1/2/2024,8,10,0,240,0,3.6,0.15,0.15,,,,,5,70,-1,4,0.3,0.3,,
FFIV,Sep,1/2/2021,8,10,0,500,0,5,0.2,0.2,,,,,5,70,-1,4,0.3,0.3,,
HOLX,Sep,1/2/2024,8,10,-20,100,-0.2,1,0.08,0.08,,,,,5,70,-1,4,0.3,0.3,,
IIIN,Sep,1/2/2024,8,10,0,150,0,2,0.05,0.05,,,,,5,70,-1,4,0.3,0.3,,
J,Sep,1/2/2024,8,10,0,160,0,2.4,0.1,0.1,,,,,5,70,-1,4,0.3,0.3,,
KLIC,Sep,1/2/2024,8,10,0,100,0,2.5,0.07,0.07,,,,,5,70,-1,4,0.3,0.3,,
MMS,Sep,1/2/2024,8,10,0,150,0,1.8,0.05,0.05,,,,,0,300,0,6,0.35,0.35,,
PTC,Sep,1/2/2024,8,10,-10,200,-0.1,2,0.05,0.05,,,,,5,70,-1,4,0.3,0.3,,
QCOM,Sep,1/2/2024,8,10,-60,320,-0.8,4,0.15,0.15,,,,,0,60,0,1,0.1,0.1,,
RJF,Sep,1/2/2024,8,10,0,150,0,3.6,0.1,0.1,,,,,0,300,0,6,0.35,0.35,,
ROK,Sep,1/2/2024,8,10,0,400,0,8,0.25,0.25,,,,,5,70,-1,4,0.3,0.3,,
SWKS,Sep,1/2/2024,8,10,0,300,0,3,0.15,0.15,,,,,0,300,0,6,0.35,0.35,,
TTEK,Sep,1/2/2024,8,10,0,80,0,1.2,0.04,0.04,,,,,0,300,0,6,0.35,0.35,,
V,Sep,1/2/2024,8,10,0,500,0,5,0.1,0.1,,,,,0,60,0,1,0.1,0.1,,
^DJI,,1/2/2021,8,10,5,70,-1,4,0.3,0.3,,,,,5,70,-1,4,0.3,0.3,,
^GSPC,,1/2/2021,8,10,5,70,-1,4,0.3,0.3,,,,,5,70,-1,4,0.3,0.3,,
^IXIC,,1/2/2021,8,10,5,70,-1,4,0.3,0.3,,,,,5,70,-1,4,0.3,0.3,,
AAON,,1/2/2024,8,10,0,105,0,2.1,0.04,0.04,,,,,5,70,-1,4,0.3,0.3,,
AAP,,1/2/2024,8,10,0,300,0,5,0.3,0.2,,,,,5,70,-1,4,0.3,0.3,,
ABBV,,1/2/2024,8,10,0,210,0,3,0.15,0.15,,,,,5,70,-1,4,0.3,0.3,,
ABG,,1/2/2024,8,10,0,300,0,9,0.15,0.15,,,,,0,120,0,3.6,0.15,0.15,5,
ABT,,1/2/2024,8,10,0,180,0,3,0.15,0.15,,,,,-20,150,-0.3,0.5,0.1,0.1,,
ACHR,,1/2/2024,8,10,-50,50,-2,2,0.04,0.04,,,,,0,60,0,1,0.1,0.1,,
ACLS,,1/2/2024,8,10,0,270,0,3,0.05,0.05,,,,,0,60,0,1,0.1,0.1,,
ADM,,1/2/2024,8,10,0,135,0,2.7,0.1,0.1,,,,,5,70,-1,4,0.3,0.3,,
ADUS,,1/2/2024,8,10,0,175,0,1.75,0.05,0.05,,,,,5,70,-1,4,0.3,0.3,,
AKAM,,1/2/2024,8,10,0,140,0,1.4,0.08,0.08,,,,,0,55,-0.5,1.5,0.1,0.1,,
ALAB,,1/2/2024,8,10,0,100,0,0.25,0.03,0.03,Adjusted,,,,5,70,-1,4,0.3,0.3,,
ALGN,,1/2/2024,8,10,0,750,0,5,0.15,0.15,,,,,0,420,0,2.8,0.15,0.15,,
ALKT,,1/2/2024,8,10,-20,100,-0.04,0.2,0.02,0.02,Adjusted,,,,0,60,0,1,0.1,0.1,,
ALL,,1/2/2024,8,10,0,210,0,7,0.25,0.25,,,,,5,70,-1,4,0.3,0.3,,
AMD,,1/2/2024,8,10,-20,250,-0.4,5,0.08,0.08,,,,,5,70,-1,4,0.3,0.3,,
AME,,1/2/2024,8,10,5,240,0,3.2,0.08,0.08,,,,,5,70,-1,4,0.3,0.3,,
AMN,,1/2/2024,8,10,0,150,0,2.25,0.1,0.1,,,,,5,70,-1,4,0.3,0.3,,
AMP,,1/2/2024,8,10,0,500,0,10,0.3,0.3,,,,,0,60,0,1,0.1,0.1,,
AMPH,,1/2/2024,8,10,0,80,0,1,0.05,0.05,,,,,0,60,0,1,0.1,0.1,,
AMPL,,1/2/2024,8,10,-31.25,120,-0.125,0.4,0.02,0.02,Adjusted,,,,0,60,0,1,0.1,0.1,,
AMRC,,1/2/2024,8,10,0,135,0,1.5,0.02,0.02,,,,,5,70,-1,4,0.3,0.3,,
AMT,,1/2/2024,8,10,0,400,0,2,0.06,0.06,,,,,5,70,-1,4,0.3,0.3,,
AMZN,,1/2/2024,8,10,0,350,0,1.05,0.05,0.05,,,,,0,3500,0,10.5,0.5,0.5,,
AN,,1/2/2024,8,10,0,400,0,6,0.2,0.2,,,,,5,70,-1,4,0.3,0.3,,
ANET,,1/2/2024,8,10,0,150,0,1.5,0.075,0.075,,,,,0,350,0,3.5,0.15,0.15,,
ANSS,,1/2/2024,8,10,0,500,0,4,0.08,0.08,,,,,0,250,0,2,0.08,0.08,,
AON,,1/2/2024,8,10,0,360,0,6,0.14,0.14,,,,,5,70,-1,4,0.3,0.3,,
AOS,,1/2/2024,8,9,0,100,0,1.5,0.07,0.07,,,,,0,80,0,1.2,0.07,0.07,,
APAM,,1/2/2024,8,10,-20,100,-0.5,2.5,0.12,0.12,,,,,0,60,0,1,0.1,0.1,,
APH,,1/2/2024,8,10,0,100,0,2.5,0.08,0.08,,,,,0,120,0,1.5,0.08,0.08,,
APP,,1/2/2024,8,10,-20,300,-0.2,3,0.06,0.06,,,,,0,60,0,1,0.1,0.1,,
ARES,,1/2/2024,8,10,0,200,0,2,0.05,0.05,,,,,5,70,-1,4,0.3,0.3,,
ARHS,,1/2/2024,8,10,-10,50,-0.15,0.75,0.01,0.01,,,,,0,60,0,1,0.1,0.1,,
ARW,,1/2/2024,8,10,-50,250,-1.5,7.5,0.25,0.25,,,,,5,70,-1,4,0.3,0.3,,
ASGN,,1/2/2024,8,10,0,150,0,2,0.08,0.08,,,,,0,105,0,1.4,0.08,0.08,,
ASML,,1/2/2024,8,10,0,1800,0,14.4,0.15,0.15,,,,,5,70,-1,4,0.3,0.3,,
ATEN,,1/2/2024,8,10,-30,30,-0.4,0.4,0.03,0.03,,,,,0,60,0,1,0.1,0.1,,
ATHM,,1/2/2024,8,10,0,160,0,16,0.6,0.6,,,,,0,160,0,16,0.6,0.6,,
AUDC,,1/2/2024,8,10,-2.5,60,-0.025,0.6,0.02,0.02,,,,,-20,150,-0.3,0.5,0.1,0.1,,
AVTR,,1/2/2024,8,10,-30,90,-0.15,0.45,0.03,0.03,,,,,0,60,0,1,0.1,0.1,,
AVY,,1/2/2024,8,10,0,280,0,5.6,0.15,0.15,,,,,5,70,-1,4,0.3,0.3,,
AXON,,1/2/2024,8,10,0,450,0,1.5,0.05,0.05,,,,,0,60,0,1,0.1,0.1,,
BA,,1/2/2024,8,10,-125,500,-2,8,0.4,0.4,,,,,0,500,0,8,0.4,0.4,,
BAC,,1/2/2024,8,10,0,60,0,1.8,0.07,0.07,,,,,0,40,0,1.2,0.07,0.07,,
BALL,,1/2/2024,8,10,0,100,0,1.5,0.05,0.05,,,,,5,70,-1,4,0.3,0.3,,
BAND,,1/2/2024,8,10,-48,300,-0.08,0.5,0.03,0.03,Adjusted,,,,0,60,0,1,0.1,0.1,,
BGS,,1/2/2024,8,10,0,75,0,0.9,0.05,0.04,,,,,5,70,-1,4,0.3,0.3,,
BKNG,,1/2/2024,8,10,0,3600,0,36,1.2,1.8,,,,,0,3000,0,30,1.2,1.8,,
BLD,,1/2/2024,8,10,0,525,0,6,0.1,0.1,,,,,-20,150,-0.3,0.5,0.1,0.1,,
BLDR,,1/2/2024,8,10,-15,150,-0.5,7.5,0.1,0.1,,,,,0,60,0,1,0.1,0.1,,
BRK-B,,1/2/2024,8,10,-150,750,-2,10,0.5,0.5,,,,,5,70,-1,4,0.3,0.3,,
BRO,,1/2/2024,8,10,0,150,0,3,0.05,0.05,,,,,0,60,0,1,0.1,0.1,,
CACC,,1/2/2024,8,10,0,780,0,18,0.7,0.7,,,,,-20,150,-0.3,0.5,0.1,0.1,,
CAT,,1/2/2024,8,10,0,600,0,15,0.3,0.3,,,,,5,70,-1,4,0.3,0.3,,
CBOE,,1/2/2024,8,10,-10,250,0,2.5,0.05,0.05,,,,,-20,150,-0.3,0.5,0.1,0.1,,
CBRE,,1/2/2024,8,10,0,120,0,1.8,0.06,0.06,,,,,5,70,-1,4,0.3,0.3,,
CCI,,1/2/2024,8,10,0,375,0,1.5,0.05,0.05,,,,,-20,150,-0.3,0.5,0.1,0.1,,
CCK,,1/2/2024,8,10,0,120,0,1.8,0.08,0.08,,,,,0,60,0,1,0.1,0.1,,
CCS,,1/2/2024,8,10,0,150,0,4.5,0.08,0.08,,,,,5,70,-1,4,0.3,0.3,,
CDNS,,1/2/2024,8,10,0,400,0,4,0.05,0.05,,,,,-20,150,-0.3,0.5,0.1,0.1,,
CDW,,1/2/2024,8,10,0,300,0,4,0.1,0.1,,,,,-20,150,-0.3,0.5,0.1,0.1,,
CERT,,1/2/2024,8,10,0,80,0,0.5,0.02,0.02,,,,,5,70,-1,4,0.3,0.3,,
CFLT,,1/2/2024,8,10,-37.5,150,-0.2,0.8,0.05,0.05,Adjusted,,,,0,60,0,1,0.1,0.1,,
CHD,,1/2/2024,8,10,0,160,0,4,0.05,0.05,,,,,5,70,-1,4,0.3,0.3,,
CHE,,1/2/2024,8,10,0,900,0,12,0.3,0.3,,,,,5,70,-1,4,0.3,0.3,,
CHKP,,1/2/2024,8,10,0,400,0,5,0.08,0.1,,,,,5,70,-1,4,0.3,0.3,,
CHRW,,1/2/2024,8,10,0,180,0,2,0.1,0.1,,,,,-20,150,-0.3,0.5,0.1,0.1,,
CHTR,,1/2/2024,8,10,-400,2000,-2,10,0.4,0.4,,,,,-400,2000,-2,10,0.4,0.4,,
CI,,1/2/2024,8,10,-40,540,0,15,0.4,0.4,,,,,0,60,0,1,0.1,0.1,,
CMCSA,,1/2/2024,8,10,0,72,0,1.2,0.05,0.05,,,,,0,60,0,1,0.1,0.1,,
CMG,,1/2/2024,8,10,0,80,0,0.48,0.01,0.01,,,,,5,70,-1,4,0.3,0.3,,
CNC,,1/2/2024,8,10,0,120,0,2,0.1,0.1,,,,,5,70,-1,4,0.3,0.3,,
CNXN,,1/2/2024,8,10,0,120,0,2.4,0.05,0.05,,,,,5,70,-1,4,0.3,0.3,,
CORT,,1/2/2024,8,10,-12,44,-0.12,0.44,0.04,0.04,,,,,-12,44,-0.12,0.44,0.04,0.04,,
CP,,1/2/2024,8,10,0,150,0,3,0.08,0.08,,,,,5,70,-1,4,0.3,0.3,,
