CNBC_Matches_Reported_EPS,Q_Report_Date,Q_Date,Q_EPS_Diluted,Q_EPS_Projections_Date_0,Q_EPS_Projections_1,Q_EPS_Projections_Date_1,Q_EPS_Projections_2,Q_EPS_Projections_Date_2,Q_EPS_Projections_3,Q_EPS_Projections_Date_3,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,,,,,,,,,,,,,,
,,3/28/2014,0.52602766,,0.53,,0.73,,0.29,,,,,,,,,,,,,,,,,,,,,,
,,12/24/2013,0.311097086,,0.29,,0.51,,0.4,,,,,,,,,,,,,,,,,,,,,,
,,9/20/2013,0.275679482,,0.39,,0.49,,0.51,0.5,,,,,,,,,,,,,,,,,,,,,
,,6/20/2013,0.337568058,,0.5,,0.54,,0.55,0.71,,,,,,,,,,,,,,,,,,,,,
,,3/20/2013,0.649069667,,0.71,,0.5,,,,,,,,,,,,,,,,,,,,,,,,
,,12/20/2012,0.479463888,,0.5,,0.49,,0.43,,,,,,,,,,,,,,,,,,,,,,
,,9/21/2012,0.376257833,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/22/2012,0.470829707,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/23/2012,0.924628726,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/22/2011,0.397759396,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/23/2011,0.357990809,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/23/2011,0.133487435,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/24/2011,0.547363618,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/23/2010,0.382689654,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/23/2010,0.320448008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/23/2010,0.296869115,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/24/2010,0.450102254,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/23/2009,0.311450761,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/23/2009,0.300255941,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/23/2009,0.338109511,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/24/2009,0.43104146,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/23/2008,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/23/2008,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/23/2008,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/24/2008,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/21/2007,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/21/2007,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/22/2007,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/23/2007,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/21/2006,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/22/2006,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/23/2006,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,3/24/2006,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12/22/2005,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9/23/2005,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,6/23/2005,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,
